MNB,SVM,accuracy,balanced_accuracy,f1,precision,M.S,M/S,S/M
1,1,0.9,0.8100003895,0.8973661064,0.8992899201,1.01,1,1
1,2,0.9076666667,0.8529109754,0.9069210105,0.907104426,1.02,0.5,2
1,3,0.9106666667,0.861420228,0.9102321143,0.9103727837,1.03,0.3333333333,3
1,4,0.9106666667,0.8620840534,0.9103173934,0.9104150454,1.04,0.25,4
1,5,0.9103333333,0.8624507748,0.9100331619,0.9101021442,1.05,0.2,5
1,6,0.9103333333,0.8643354674,0.9100645248,0.9101131969,1.06,0.1666666667,6
1,7,0.9106666667,0.8646345393,0.9104056017,0.9104469858,1.07,0.1428571429,7
1,8,0.9103333333,0.8644758092,0.9101036051,0.9101743848,1.08,0.125,8
1,9,0.9103333333,0.8644758092,0.9101036051,0.9101743848,1.09,0.1111111111,9
1,10,0.9086666667,0.8636110035,0.908494281,0.9086260495,1.1,0.1,10
1,11,0.909,0.8637697336,0.9088195445,0.9089314283,1.11,0.09090909091,11
1,12,0.909,0.8641036143,0.9088643293,0.9090275845,1.12,0.08333333333,12
1,13,0.909,0.8657255811,0.9088955135,0.9090764172,1.13,0.07692307692,13
1,14,0.909,0.8657255811,0.9088955135,0.9090764172,1.14,0.07142857143,14
1,15,0.909,0.8657255811,0.9088955135,0.9090764172,1.15,0.06666666667,15
1,16,0.9086666667,0.865566851,0.9085764647,0.9087586689,1.16,0.0625,16
1,17,0.9086666667,0.865566851,0.9085764647,0.9087586689,1.17,0.05882352941,17
1,18,0.9083333333,0.8650050532,0.9082306309,0.9084175134,1.18,0.05555555556,18
1,19,0.9083333333,0.8646019856,0.9082456354,0.9084633638,1.19,0.05263157895,19
1,20,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.2,0.05,20
1,21,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.21,0.04761904762,21
1,22,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.22,0.04545454545,22
1,23,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.23,0.04347826087,23
1,24,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.24,0.04166666667,24
1,25,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.25,0.04,25
1,26,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.26,0.03846153846,26
1,27,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.27,0.03703703704,27
1,28,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.28,0.03571428571,28
1,29,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.29,0.03448275862,29
1,30,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.3,0.03333333333,30
1,31,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.31,0.03225806452,31
1,32,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.32,0.03125,32
1,33,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.33,0.0303030303,33
1,34,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.34,0.02941176471,34
1,35,0.9086666667,0.8647607158,0.9085714044,0.9087704873,1.35,0.02857142857,35
1,36,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.36,0.02777777778,36
1,37,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.37,0.02702702703,37
1,38,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.38,0.02631578947,38
1,39,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.39,0.02564102564,39
1,40,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.4,0.025,40
1,41,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.41,0.0243902439,41
1,42,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.42,0.02380952381,42
1,43,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.43,0.02325581395,43
1,44,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.44,0.02272727273,44
1,45,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.45,0.02222222222,45
1,46,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.46,0.02173913043,46
1,47,0.9083333333,0.8642681049,0.9082428768,0.9084275053,1.47,0.02127659574,47
1,48,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.48,0.02083333333,48
1,49,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.49,0.02040816327,49
1,50,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.5,0.02,50
1,51,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.51,0.01960784314,51
1,52,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.52,0.01923076923,52
1,53,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.53,0.01886792453,53
1,54,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.54,0.01851851852,54
1,55,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.55,0.01818181818,55
1,56,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.56,0.01785714286,56
1,57,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.57,0.01754385965,57
1,58,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.58,0.01724137931,58
1,59,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.59,0.01694915254,59
1,60,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.6,0.01666666667,60
1,61,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.61,0.01639344262,61
1,62,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.62,0.01612903226,62
1,63,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.63,0.01587301587,63
1,64,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.64,0.015625,64
1,65,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.65,0.01538461538,65
1,66,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.66,0.01515151515,66
1,67,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.67,0.01492537313,67
1,68,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.68,0.01470588235,68
1,69,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.69,0.01449275362,69
1,70,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.7,0.01428571429,70
1,71,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.71,0.01408450704,71
1,72,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.72,0.01388888889,72
1,73,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.73,0.01369863014,73
1,74,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.74,0.01351351351,74
1,75,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.75,0.01333333333,75
1,76,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.76,0.01315789474,76
1,77,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.77,0.01298701299,77
1,78,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.78,0.01282051282,78
1,79,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.79,0.01265822785,79
1,80,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.8,0.0125,80
1,81,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.81,0.01234567901,81
1,82,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.82,0.01219512195,82
1,83,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.83,0.01204819277,83
1,84,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.84,0.0119047619,84
1,85,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.85,0.01176470588,85
1,86,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.86,0.01162790698,86
1,87,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.87,0.01149425287,87
1,88,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.88,0.01136363636,88
1,89,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.89,0.01123595506,89
1,90,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.9,0.01111111111,90
1,91,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.91,0.01098901099,91
1,92,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.92,0.01086956522,92
1,93,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.93,0.01075268817,93
1,94,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.94,0.01063829787,94
1,95,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.95,0.01052631579,95
1,96,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.96,0.01041666667,96
1,97,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.97,0.01030927835,97
1,98,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.98,0.01020408163,98
1,99,0.9083333333,0.8642681049,0.9082340145,0.9083992577,1.99,0.0101010101,99
1,100,0.9083333333,0.8642681049,0.9082340145,0.9083992577,2,0.01,100
2,1,0.8736666667,0.7242488351,0.8645774783,0.8766429299,2.01,2,0.5
2,2,0.9,0.8100003895,0.8973661064,0.8992899201,2.02,1,1
2,3,0.9036666667,0.8375837674,0.9024801101,0.9029893939,2.03,0.6666666667,1.5
2,4,0.9076666667,0.8529109754,0.9069210105,0.907104426,2.04,0.5,2
2,5,0.9103333333,0.8605265176,0.9097924773,0.9099579046,2.05,0.4,2.5
2,6,0.9106666667,0.861420228,0.9102321143,0.9103727837,2.06,0.3333333333,3
2,7,0.9103333333,0.861119188,0.9099227435,0.909983782,2.07,0.2857142857,3.5
2,8,0.9106666667,0.8620840534,0.9103173934,0.9104150454,2.08,0.25,4
2,9,0.91,0.861958164,0.9096974191,0.9097775059,2.09,0.2222222222,4.5
2,10,0.9103333333,0.8624507748,0.9100331619,0.9101021442,2.1,0.2,5
2,11,0.9103333333,0.8627135006,0.9100377168,0.9100597329,2.11,0.1818181818,5.5
2,12,0.9103333333,0.8643354674,0.9100645248,0.9101131969,2.12,0.1666666667,6
2,13,0.9106666667,0.8646345393,0.9104056017,0.9104469858,2.13,0.1538461538,6.5
2,14,0.9106666667,0.8646345393,0.9104056017,0.9104469858,2.14,0.1428571429,7
2,15,0.9106666667,0.8646345393,0.9104056017,0.9104469858,2.15,0.1333333333,7.5
2,16,0.9103333333,0.8644758092,0.9101036051,0.9101743848,2.16,0.125,8
2,17,0.9103333333,0.8644758092,0.9101036051,0.9101743848,2.17,0.1176470588,8.5
2,18,0.9103333333,0.8644758092,0.9101036051,0.9101743848,2.18,0.1111111111,9
2,19,0.9096666667,0.8641583489,0.9094557107,0.9095579474,2.19,0.1052631579,9.5
2,20,0.9086666667,0.8636110035,0.908494281,0.9086260495,2.2,0.1,10
2,21,0.909,0.8637697336,0.9088195445,0.9089314283,2.21,0.09523809524,10.5
2,22,0.909,0.8637697336,0.9088195445,0.9089314283,2.22,0.09090909091,11
2,23,0.909,0.8641036143,0.9088298925,0.9089548938,2.23,0.08695652174,11.5
2,24,0.909,0.8641036143,0.9088643293,0.9090275845,2.24,0.08333333333,12
2,25,0.9086666667,0.8638737293,0.9085454127,0.9086902267,2.25,0.08,12.5
2,26,0.909,0.8657255811,0.9088955135,0.9090764172,2.26,0.07692307692,13
2,27,0.909,0.8657255811,0.9088955135,0.9090764172,2.27,0.07407407407,13.5
2,28,0.909,0.8657255811,0.9088955135,0.9090764172,2.28,0.07142857143,14
2,29,0.909,0.8657255811,0.9088955135,0.9090764172,2.29,0.06896551724,14.5
2,30,0.909,0.8657255811,0.9088955135,0.9090764172,2.3,0.06666666667,15
2,31,0.909,0.8657255811,0.9088955135,0.9090764172,2.31,0.06451612903,15.5
2,32,0.9086666667,0.865566851,0.9085764647,0.9087586689,2.32,0.0625,16
2,33,0.9086666667,0.865566851,0.9085764647,0.9087586689,2.33,0.06060606061,16.5
2,34,0.9086666667,0.865566851,0.9085764647,0.9087586689,2.34,0.05882352941,17
2,35,0.9083333333,0.8650050532,0.9082306309,0.9084175134,2.35,0.05714285714,17.5
2,36,0.9083333333,0.8650050532,0.9082306309,0.9084175134,2.36,0.05555555556,18
2,37,0.9086666667,0.8651637834,0.9085692406,0.9087554367,2.37,0.05405405405,18.5
2,38,0.9083333333,0.8646019856,0.9082456354,0.9084633638,2.38,0.05263157895,19
2,39,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.39,0.05128205128,19.5
2,40,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.4,0.05,20
2,41,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.41,0.0487804878,20.5
2,42,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.42,0.04761904762,21
2,43,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.43,0.04651162791,21.5
2,44,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.44,0.04545454545,22
2,45,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.45,0.04444444444,22.5
2,46,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.46,0.04347826087,23
2,47,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.47,0.04255319149,23.5
2,48,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.48,0.04166666667,24
2,49,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.49,0.04081632653,24.5
2,50,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.5,0.04,25
2,51,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.51,0.03921568627,25.5
2,52,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.52,0.03846153846,26
2,53,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.53,0.03773584906,26.5
2,54,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.54,0.03703703704,27
2,55,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.55,0.03636363636,27.5
2,56,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.56,0.03571428571,28
2,57,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.57,0.0350877193,28.5
2,58,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.58,0.03448275862,29
2,59,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.59,0.03389830508,29.5
2,60,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.6,0.03333333333,30
2,61,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.61,0.03278688525,30.5
2,62,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.62,0.03225806452,31
2,63,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.63,0.03174603175,31.5
2,64,0.9086666667,0.8647607158,0.9085714044,0.9087704873,2.64,0.03125,32
